Price,Close,High,Low,Open,Volume
Ticker,5933.T,5933.T,5933.T,5933.T,5933.T
Date,,,,,
2022-01-04,873.666748046875,873.666748046875,868.3771410960362,869.2587422545093,13400
2022-01-05,866.614013671875,879.8380321917917,865.732412437214,873.666823549164,16300
2022-01-06,852.5084228515625,866.6140430848873,852.5084228515625,864.8508405557217,16400
2022-01-07,849.8635864257812,863.0876048867633,849.8635864257812,859.5611999638348,15700
2022-01-11,854.2716064453125,856.0348089353957,848.1003977300213,851.6268027101877,23300
2022-01-12,861.3244018554688,865.7324080062132,857.7979969348731,861.3244018554688,17000
2022-01-13,855.1531372070312,863.9691489308151,853.3899348622745,863.9691489308151,9400
2022-01-14,854.2716064453125,863.0876188957285,848.1003977300213,855.1532076903542,34300
2022-01-17,851.6267700195312,856.9163772867333,849.8635675971307,850.745168808331,13700
2022-01-18,847.21875,858.6795655567117,847.21875,857.7979643600416,17800
2022-01-19,833.1131591796875,849.8635824859457,833.1131591796875,846.3371775793651,31500
2022-01-20,830.4683837890625,848.1004089225883,830.4683837890625,833.1131875590914,25200
2022-01-21,838.4027709960938,838.4027709960938,826.0603537574551,828.705157451449,20700
2022-01-24,849.8635864257812,849.8635864257812,835.757966734067,835.757966734067,11600
2022-01-25,830.4683837890625,847.218807665912,830.4683837890625,847.218807665912,25700
2022-01-26,829.5867309570312,838.4027429757032,827.8235285532969,837.521141773836,17700
2022-01-27,816.3627319335938,833.9947563814035,816.3627319335938,833.113155159013,37000
2022-01-28,824.297119140625,826.0603215345087,820.7707143528576,826.0603215345087,31800
2022-01-31,839.2843627929688,839.2843627929688,824.2971420288086,824.2971420288086,17000
2022-02-01,835.758056640625,842.8108672451872,832.2316513383438,839.2844619429061,10200
2022-02-02,843.6923828125,848.1003889922937,834.8763704529127,841.0475791046239,28400
2022-02-03,805.7835693359375,812.8363795708254,799.6123603804107,799.6123603804107,83500
2022-02-04,804.9019775390625,808.4283826980508,800.4939710903272,805.7835788288096,44700
2022-02-07,802.2571411132812,809.3099511450463,799.6123373513693,804.9019448751932,57600
2022-02-08,800.493896484375,806.6651049374483,799.612295276793,806.6651049374483,33100
2022-02-09,802.2571411132812,805.7835461291638,802.2571411132812,802.2571411132812,19100
2022-02-10,804.0203247070312,811.0731345728824,803.1387234737999,807.5467296399569,31600
2022-02-14,800.493896484375,804.9019025222846,800.493896484375,804.0203013147026,27100
2022-02-15,801.3755493164062,807.5467581670276,801.3755493164062,805.7835556382786,30500
2022-02-16,803.1387329101562,815.4811503204111,803.1387329101562,814.5995490768215,24300
2022-02-17,802.2571411132812,805.7835461291638,801.3755398593106,804.0203436212225,21700
2022-02-18,802.2571411132812,804.9019448751932,800.49393860534,800.49393860534,39100
2022-02-21,804.0203247070312,805.783527173494,798.7307173076429,798.7307173076429,31300
2022-02-22,804.9019775390625,805.7835788288096,799.6123698005802,802.2571736698213,18000
2022-02-24,806.6651000976562,806.6651000976562,799.6122904793161,804.0202964907787,43700
2022-02-25,799.6123657226562,806.6651760046642,799.6123657226562,806.6651760046642,170200
2022-02-28,803.1387329101562,804.9019353973355,798.7307266922081,801.375530422977,49700
2022-03-01,805.7835693359375,811.0731770121034,800.4939616597717,807.5467718946595,48600
2022-03-02,796.9674682617188,802.2570753519514,795.2042658983079,798.7306706251296,68300
2022-03-03,793.4411010742188,797.8491071912978,793.4411010742188,795.2043035210503,113600
2022-03-04,786.3883056640625,794.3227168198658,782.8619007059277,792.5595143407985,340900
2022-03-07,768.75634765625,783.7435700302824,764.3483410756522,783.7435700302824,167300
2022-03-08,753.76904296875,770.5194661458333,749.3610368695175,755.5322454084429,108700
2022-03-09,744.0714111328125,766.111441083429,742.3082087367632,762.5850362913303,70300
2022-03-10,765.2298583984375,766.9930608371436,755.532244985554,759.9402510823193,83600
2022-03-11,757.29541015625,765.2298207399592,752.0058031004438,765.2298207399592,146400
2022-03-14,757.29541015625,764.3482195639915,757.29541015625,760.8218148601208,71800
2022-03-15,756.4138793945312,759.058683168638,750.2426705882822,757.2954806525669,106600
2022-03-16,755.5322875976562,760.821895212109,751.124281252279,756.4138888667317,373700
2022-03-17,767.2669677734375,769.9749688361672,759.1429645852481,760.045631606158,322400
2022-03-18,770.8776245117188,772.6829585269687,765.461622465969,770.8776245117188,91200
2022-03-22,769.072265625,778.098935409331,769.072265625,774.4882674955986,92700
2022-03-23,784.4176025390625,789.8336043977902,773.585598821607,776.2935997509709,91300
2022-03-24,790.7362670898438,791.6389340614074,778.0989294879512,778.0989294879512,57200
2022-03-25,793.4442749023438,793.4442749023438,788.0282730258773,791.6389409435217,33500
2022-03-28,792.5416259765625,799.762961976349,791.6389589765892,795.2496269764824,54500
2022-03-29,798.8602905273438,798.8602905273438,790.7362875728284,794.3469555526129,55700
2022-03-30,788.0283203125,798.8603247154209,779.0016499767326,798.8603247154209,51200
2022-03-31,782.6123046875,789.8336408322521,781.709637669406,781.709637669406,31300
2022-04-01,790.7362670898438,790.7362670898438,781.7095973742063,781.7095973742063,43700
2022-04-04,785.3203125,792.5416487068965,784.4176454741379,790.7363146551724,31400
2022-04-05,790.7362670898438,791.6389340614074,787.1255992035888,789.83360011828,33300
2022-04-06,776.2936401367188,790.7363125113553,776.2936401367188,790.7363125113553,34100
2022-04-07,770.8776245117188,773.5856255345936,767.2669564812189,773.5856255345936,33100
2022-04-08,769.072265625,775.3909344740317,764.5589307328345,772.6829335387324,41700
2022-04-11,769.9749145507812,769.9749145507812,760.0455780208181,765.4615797644344,51000
2022-04-12,766.3642578125,769.974925693831,762.753589931169,769.974925693831,26200
2022-04-13,769.9749145507812,771.78024846532,763.6562458498956,769.0722475935119,25900
2022-04-14,770.8776245117188,771.7802915193438,768.1696234888439,769.9749575040938,13200
2022-04-15,768.1696166992188,771.780284697805,766.3642826999256,767.2669496995721,12300
2022-04-18,762.7535400390625,766.3642076842178,762.7535400390625,766.3642076842178,15400
